Bat.ID,Scorer,Date,Time, Species,Test,Rewarded_loc,Rewarded_smell,first_hover,first_hover_nextnearest,first_land,first_land_nextnearest,first_visit,first_visit_nextnearest,lands_loc,hovers_loc,visits_loc,lands_smell,hovers_smell,visits_smell,lands_neither,hovers_neither,visits_neither,visits_nearest,visits_sassafras,visits_almond,visits_cinnamon,visits_anise,total_lands,total_hovers,total_visits,pct_visits_loc,pct_visits_smell,pct_visits_neither,pct_visits_nearest,notes,,
A-C095,DV,3/30/17,23:56,AJ,LocVSmell,"4,2",sassafras,location,0,NA,NA,location,0,0,4,4,0,2,2,0,0,0,0,2,NA,0,4,0,6,6,0.666666667,0.333333333,0,0,styrofoam in petri still,,
A-Head,DV,7/3/17,19:11,L,LocVSmell,"3,1",cinnamon,location,NA,location,NA,location,NA,19,15,34,3,3,6,0,0,0,NA,NA,34,6,0,22,18,40,0.85,0.15,0,NA,,,
B-Butt,DV,6/30/17,19:30,L,LocVSmell,"3,1",cinnamon,location,0,location,0,location,0,19,6,25,0,0,0,4,0,4,4,4,NA,0,25,23,6,29,0.862068966,0,0.137931034,0.137931034,"entered all yellows, revise if time",,
B-C09E,DV,4/6/17,19:36,AJ,LocVSmell,"4,2",sassafras,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,,,
Bartameus,VP MD,7/28/17,20:48,L,LocVSmell,"4,2",sassafras,neither,0,location,0,neither,0,8,12,20,0,0,0,0,7,7,0,0,20,NA,7,8,19,27,0.740740741,0,0.259259259,0,"4,2/almond, 2,1/anise, 3,3/sas, check this for the first hover, I think 2,1 has a lot of hovers bc it was in the corner and it wasn't scored carefully ---> CHECKED: True that a number of 2,1s hadn't been scored carefully (didn't check 2nd camera angle), but this first 2,1 is within reason. ",,
Beethoven,VP,9/22/17,19:34,L,LocVSmell,"1,3",almond,location,0,location,0,location,0,10,23,33,0,0,0,0,0,0,0,NA,0,0,33,10,23,33,1,0,0,0,"1,3/anise, 4,3/cinammon,4,1/almond",,
C-C09A,UK,4/1/17,NA,AJ,LocVSmell,"4,2",sassafras,location,NA,location,NA,location,NA,3,15,18,0,4,4,0,2,2,NA,4,NA,18,4,3,21,26,0.692307692,0.153846154,0.076923077,NA,sour nans?,,
C-Newbie,DV,6/29/17,NA,L,LocVSmell,"3,1",cinnamon,location,NA,location,NA,location,NA,18,15,33,19,0,19,9,7,16,NA,NA,33,19,16,46,22,68,0.485294118,0.279411765,0.235294118,NA,suspicious about there beieng more lands than hovers,,
D-C0B6,DV,4/2/17,22:29,AJ,LocVSmell,"4,2",sassafras,location,0,NA,NA,location,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,0,0,0,styrofoam in petri still,,
E-C07C,VP,4/3/17,22:31,AJ,LocVSmell,"4,2",sassafras,location,0,smell,0,location,0,2,18,20,2,12,14,0,3,3,3,14,20,NA,3,4,33,37,0.540540541,0.378378378,0.081081081,0.081081081,"3,1/anise, 4,2/almond, 2,4/sassafras",,
F-C0C0,DV,4/6/17,21:02,AJ,LocVSmell,"4,2",sassafras,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,,,
G-C09B,VP,5/1/17,1:40,AJ,LocVSmell,"3,3",cinnamon,location,0,NA,NA,location,0,0,5,5,0,2,2,0,4,4,4,4,5,2,NA,0,11,11,0.454545455,0.181818182,0.363636364,0.363636364,"3/3/almond, 2,2'sassafras, 1,1/cinammon",,
H-C055,VP,4/2/17,23:30,AJ,LocVSmell,"3,3",cinnamon,location,0,NA,NA,location,0,0,10,10,0,8,8,0,6,6,8,6,10,8,NA,0,24,24,0.416666667,0.333333333,0.25,0.333333333,"3,1/sassafras, 2,2/cinnamon, 3,3/almond",,
Handel,VP,10/16/17,19:35,L,LocVSmell,"3,1",anise,neither,nearest,location,0,location,0,42,13,55,4,2,6,20,22,42,42,NA,55,42,6,66,37,103,0.533980583,0.058252427,0.40776699,0.40776699,"3,1/anise, 2,2/cinnamon, 3,1/almond",,
I-C0BF,VP,4/2/17,21:01,AJ,LocVSmell,"3,3",cinnamon,neither,nearest,NA,NA,neither,nearest,0,6,6,0,15,15,0,8,8,0,8,NA,15,6,0,29,29,0.206896552,0.517241379,0.275862069,0,"3,3/anise, 2,2/sassafras, 3,1/cinammon",,
K-C091,DA,5/1/17,22:59,AJ,LocVSmell,"3,3",cinnamon,neither,0,NA,NA,neither,0,0,12,12,0,4,4,0,9,9,4,12,9,4,NA,0,25,25,0.48,0.16,0.36,0.16,"""night 3"", 3,3*/sas, 2,2*/cin, 1,1/alm",,
L-C07F,UK,4/30/17,23:13,AJ,LocVSmell,"3,3",cinnamon,location,0,NA,NA,location,0,0,14,14,0,5,5,0,5,5,5,5,14,5,NA,0,24,24,0.583333333,0.208333333,0.208333333,0.208333333,,,
Lireal,UK,7/26/17,19:17,L,LocVSmell,"4,2",sassafras,location,0,location,0,location,0,4,25,29,0,3,3,0,0,0,0,3,0,NA,29,4,28,32,0.90625,0.09375,0,0,"4,2/anise, 2,1/almond/2,4/sassafras",,
Mozart,DA,9/21/17,20:45,L,LocVSmell,"1,3",almond,neither,nearest,location,0,neither,nearest,23,13,36,0,6,6,0,2,2,2,NA,6,2,36,23,21,44,0.818181818,0.136363636,0.045454545,0.045454545,"99% sure this is labelled wrong.  scored, but records show all the dids on 1,3 were eaten, so had to be some lands. I think that 4,3 and 1,3 were swapped or something. CHECKED: This was true. fixed now. ",,
Shostakovich,DA,9/23/17,19:18,L,LocVSmell,"1,3",almond,location,0,location,0,location,0,5,11,16,0,0,0,0,0,0,0,16,0,NA,0,5,11,16,1,0,0,0,"4,3/almond, 1,3/sassafras, 2,4/anise",,
Whitey,DA,10/18/17,20:20,L,LocVSmell,"3,1",anise,location,0,location,0,location,0,7,5,12,0,0,0,0,0,0,0,0,NA,12,0,7,5,12,1,0,0,0,,,
