Bat.ID,Scorer,Date,Time, Species,Test,Rewarded_loc,Rewarded_sound,first_hover,first_hover_nextnearest,first_land,first_land_nextnearest,first_visit,first_visit_nextnearest,lands_loc,hovers_loc,visits_loc,lands_sound,hovers_sound,visits_sound,lands_neither,hovers_neither,visits_neither,lands_nearest,hovers_nearest,visits_nearest,lands_alpha,hovers_alpha,visits_alpha,lands_beta,hovers_beta,visits_beta,lands_feta,hovers_feta,visits_feta,lands_epsilon,hovers_epsilon,visits_epsilon,total_lands,total_hovers,total_visits,pct_visits_loc,pct_visits_sound,pct_visits_neither,pct_visits_nearest,notes
A-C095,UK,4/1/17,1,AJ,LocVSound,"4,2",epsilon,location,0,location,0,location,0,1,10,11,0,0,0,0,1,1,0,1,1,NA,NA,NA,0,1,1,1,10,11,0,0,0,1,11,12,0.916666667,0,0.083333333,0.083333333,
B-C09E,DV,4/5/17,19:41,AJ,LocVSound,"4,2",epsilon,NA ,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"4,2/feta, 2,1/alpha, 2,4/epsilon"
C-C09A,DA,4/4/17,20:00,AJ,LocVSound,"4,2",epsilon,location,NA,NA,NA,location,NA,0,7,7,0,1,1,0,1,1,NA,NA,NA,0,1,1,NA,NA,NA,0,7,7,0,1,1,0,9,9,0.777777778,0.111111111,0.111111111,NA,"night 4, 3,3/aps, 3,1/alpha, 1,1/feta"
D-C0B6,DV,4/2/17,23:45,AJ,LocVSound,"4,2",epsilon,neither,NA,location,NA,neither,NA,5,2,6,0,0,0,0,4,4,NA,NA,NA,NA,NA,NA,5,2,7,0,4,4,0,0,0,5,6,11,0.545454545,0,0.363636364,NA,"3,3/epsilon, 2,2/feta, 3,1/alpha"
E-C07C,VP,4/2/17,3:16,AJ,LocVSound,"4,2",epsilon,location,0,location,0,location,0,4,17,21,0,8,8,0,7,7,0,8,8,NA,NA,NA,4,17,21,0,7,7,0,8,8,4,32,36,0.583333333,0.222222222,0.194444444,0.222222222,"1,1/feta, 3,3/alpha, 3,1/beta"
F-C0C0,DA,4/4/17,1:42,AJ,LocVSound,"4,2",epsilon,location,0,neither,nearest,location,0,0,11,11,0,10,10,1,17,18,1,17,1,NA,NA,NA,0,11,11,1,17,18,0,10,10,1,38,39,0.282051282,0.256410256,0.461538462,0.025641026,"night 6, 20:00, 4,3/feta, 3,1/alpha, 3,3/epsilon"
G-C09B,VP,4/2/17,19:42,AJ,LocVSound,"3,3",feta,location,0,NA,NA,location,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,NA,NA,NA,0,6,6,1,0,0,0,"1,3/feta, 3,1/beta, 3,3/alpha"
H-C055,VP,5/1/17,0:38,AJ,LocVSound,"3,3",feta,location,NA,NA,NA,location,NA,0,7,7,0,15,15,0,5,5,NA,NA,NA,0,5,5,NA,NA,NA,0,15,15,0,7,7,0,27,27,0.259259259,0.555555556,0.185185185,NA,"1,1/epsilon, 2,2/feta, 3,3/alpha"
I-C0BF,VP,4/20/17,1:55,AJ,LocVSound,"3,3",feta,location,0,NA,NA,location,0,0,16,16,0,4,4,0,11,11,0,4,4,NA,NA,NA,0,11,11,0,4,4,0,16,16,0,31,31,0.516129032,0.129032258,0.35483871,0.129032258,
J-C090,VP,5/2/17,22:15,AJ,LocVSound,"3,3",feta,neither,0,NA,NA,neither,0,0,12,12,0,8,8,0,9,9,0,8,8,0,12,12,NA,NA,NA,0,8,8,0,9,9,0,29,29,0.413793103,0.275862069,0.310344828,0.275862069,"2,2/beta, 3,1/feta, 3,3/alpha"
K-C091,MD,4/30/17,21:47,AJ,LocVSound,"3,3",feta,location,0,NA,NA,location,0,0,13,13,0,1,1,0,5,5,0,0,0,0,5,5,NA,NA,NA,0,1,1,0,13,13,0,19,19,0.684210526,0.052631579,0.263157895,0,
L-C07F,DA,5/2/17,22:15,AJ,LocVSound,"3,3",feta,sound,0,location,0,sound,0,1,8,9,0,3,3,0,5,5,0,5,5,0,5,5,NA,NA,NA,0,3,3,1,8,9,1,16,17,0.529411765,0.176470588,0.294117647,0.294117647,
B-Butt,DV,7/1/17,21:37,L,LocVSound,"3,1",feta,location,0,location,0,location,0,0,5,5,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,5,5,0,0,0,0,0,0,0,5,5,1,0,0,0,"3,3/feta*, 1,1/epsilon, 3,1/beta"
Bartameus,UK,7/26/17,20:32,L,LocVSound,"4,2",epsilon,location,0,location,0,location,0,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,3,6,9,0,0,0,3,6,9,1,0,0,0,"3,3/esilon, 2,2/feta, 3,1/beta"
Beethoven,VP,9/21/17,20:45,L,LocVSound,"1,3",beta,location,0,neither,0,neither,0,20,11,31,2,4,6,1,1,2,2,4,6,20,11,31,2,4,6,NA,NA,NA,1,1,2,23,16,39,0.794871795,0.153846154,0.051282051,0.153846154,"4,1/beta, 1,3/alpha, 2,4/epsilon"
C-Newbie,DV,7/1/17,19:12,L,LocVSound,"3,1",feta,location,0,location,0,location,0,15,7,22,0,0,0,0,0,0,0,0,0,0,0,0,15,7,22,0,0,0,NA,NA,NA,15,7,22,1,0,0,0,"1,1/feta*, 3,3/alpha, 3,1*/beta"
Handel,DA,10/17/17,20:38,L,LocVSound,"3,1",alpha,location,0,neither,nearest,neither,nearest,24,9,33,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,24,9,33,NA,NA,NA,25,9,34,0.970588235,0,0.029411765,0.029411765,"night 6, 4,2/beta, 2,4/feta, 3,3/epsilon"
Lireal,UK,7/27/17,20:58,L,LocVSound,"4,2",epsilon,location,0,location,0,location,0,6,17,23,2,7,9,4,2,6,4,2,6,4,2,6,NA,NA,NA,6,17,23,2,7,9,12,26,38,0.605263158,0.236842105,0.157894737,0.157894737,"4,2/feta, 2,1/epsilon, 33/alpha"
Mozart,DA,9/23/17,22:05,L,LocVSound,"1,3",beta,sound,0,NA,NA,sound,0,0,2,2,0,1,1,0,0,0,0,0,0,0,2,2,0,1,1,NA,NA,0,0,0,0,0,3,3,0.666666667,0.333333333,0,0,"no second video found; 3,1/epsilon, 4,2/beta, 2,4/feta"
Shostakovich,VP,9/21/17,19:20,L,LocVSound,"1,3",beta,location,0,location,0,location,0,10,33,43,0,8,8,0,6,6,0,8,8,0,6,6,0,8,8,NA,NA,NA,10,33,43,10,47,57,0.754385965,0.140350877,0.105263158,0.140350877,"2,4/beta, 4,3/epsilon, 1,3/alpha"
Whitey,DA,10/17/17,20:59,L,LocVSound,"3,1",alpha,neither,NA,location,NA,neither,NA,1,0,1,0,0,0,0,1,1,NA,NA`,NA,0,0,0,1,0,1,0,1,1,NA,NA,NA,1,1,2,0.5,0,0.5,NA,"1,1/alpha, 3,3/epsilon, 3,1/feta"
Cracker_Jacks,DV,5/28/17,NA,T,LocVSound,"4,2",epsilon,NA,NA,location,0,location,0,4,0,4,0,0,0,1,0,1,1,0,1,4,0,4,NA,NA,NA,1,0,1,0,0,0,5,0,5,0.8,0,0.2,0.2,
