Bat.ID,Species,cue,visits_counts,Test
A-C095,AJ,location,11,LocVSound
C-C09A,AJ,location,7,LocVSound
D-C0B6,AJ,location,6,LocVSound
E-C07C,AJ,location,21,LocVSound
F-C0C0,AJ,location,11,LocVSound
G-C09B,AJ,location,6,LocVSound
H-C055,AJ,location,7,LocVSound
I-C0BF,AJ,location,16,LocVSound
J-C090,AJ,location,12,LocVSound
K-C091,AJ,location,13,LocVSound
L-C07F,AJ,location,9,LocVSound
B-Butt,L,location,5,LocVSound
Bartameus,L,location,9,LocVSound
Beethoven,L,location,31,LocVSound
C-Newbie,L,location,22,LocVSound
Handel,L,location,33,LocVSound
Lireal,L,location,23,LocVSound
Mozart,L,location,2,LocVSound
Shostakovich,L,location,43,LocVSound
Whitey,L,location,1,LocVSound
A-C095,AJ,sound,0,LocVSound
C-C09A,AJ,sound,1,LocVSound
D-C0B6,AJ,sound,0,LocVSound
E-C07C,AJ,sound,8,LocVSound
F-C0C0,AJ,sound,10,LocVSound
G-C09B,AJ,sound,0,LocVSound
H-C055,AJ,sound,15,LocVSound
I-C0BF,AJ,sound,4,LocVSound
J-C090,AJ,sound,8,LocVSound
K-C091,AJ,sound,1,LocVSound
L-C07F,AJ,sound,3,LocVSound
B-Butt,L,sound,0,LocVSound
Bartameus,L,sound,0,LocVSound
Beethoven,L,sound,6,LocVSound
C-Newbie,L,sound,0,LocVSound
Handel,L,sound,0,LocVSound
Lireal,L,sound,9,LocVSound
Mozart,L,sound,1,LocVSound
Shostakovich,L,sound,8,LocVSound
Whitey,L,sound,0,LocVSound
A-C095,AJ,neither,1,LocVSound
C-C09A,AJ,neither,1,LocVSound
D-C0B6,AJ,neither,4,LocVSound
E-C07C,AJ,neither,7,LocVSound
F-C0C0,AJ,neither,18,LocVSound
G-C09B,AJ,neither,0,LocVSound
H-C055,AJ,neither,5,LocVSound
I-C0BF,AJ,neither,11,LocVSound
J-C090,AJ,neither,9,LocVSound
K-C091,AJ,neither,5,LocVSound
L-C07F,AJ,neither,5,LocVSound
B-Butt,L,neither,0,LocVSound
Bartameus,L,neither,0,LocVSound
Beethoven,L,neither,2,LocVSound
C-Newbie,L,neither,0,LocVSound
Handel,L,neither,1,LocVSound
Lireal,L,neither,6,LocVSound
Mozart,L,neither,0,LocVSound
Shostakovich,L,neither,6,LocVSound
Whitey,L,neither,1,LocVSound
A-C095,AJ,location,4,LocVSmell
A-Head,L,location,34,LocVSmell
B-Butt,L,location,25,LocVSmell
Bartameus,L,location,20,LocVSmell
Beethoven,L,location,33,LocVSmell
C-C09A,AJ,location,18,LocVSmell
C-Newbie,L,location,33,LocVSmell
D-C0B6,AJ,location,2,LocVSmell
E-C07C,AJ,location,20,LocVSmell
G-C09B,AJ,location,5,LocVSmell
H-C055,AJ,location,10,LocVSmell
Handel,L,location,55,LocVSmell
I-C0BF,AJ,location,6,LocVSmell
