Bat.ID,Scorer,Date,Time, Species,Test,Rewarded_sound,Rewarded_smell,first_hover,first_land,first_visit,lands_smell,hovers_smell,visits_smell,lands_sound,hovers_sound,visits_sound,lands_neither,hovers_neither,visits_neither,lands_nearest,hovers_nearest,visits_nearest,visits_alpha,visits_beta,visits_feta,visits_epsilon,visits_sassafras,visits_almond,visits_cinnamon,visits_anise,total_lands,total_hovers,total_visits,pct_visits_sound,pct_visits_smell,pct_visits_neither,pct_visits_nearest
E-C07C,Unknown,4/1/17,20:52,AJ,SovSm,epsilon,sasafrass,smell,NA,"smell, nearest",0,2,2,0,1,1,1,0,1,1,0,1,1,NA,2,1,2,1,1,NA,1,3,4,0.25,0.5,0.25,0.25
J-C090,Unknown,4/30/17,20:08,AJ,SovSm,feta,cinnamon,"sound, nearest","sound, nearest","sound, nearest",0,1,1,1,5,6,0,0,0,1,5,6,0,NA,6,1,0,NA,1,0,1,6,7,0.857142857,0.142857143,0,0.857142857
A-Head,Dylan,7/1/17,20:22,L,SovSm,feta,cinnamon,nearest,smell,smell,6,4,10,2,0,2,2,3,5,NA,NA,NA,NA,10,2,5,NA,2,10,5,10,7,17,0.117647059,0.588235294,0.294117647,NA
B-Butt,Dylan,7/3/17,20:33,L,SovSm,feta,cinnamon,neither,neither,neither,0,0,0,0,0,0,1,1,2,0,0,0,0,NA,0,2,0,NA,0,2,1,1,2,0,0,1,0
C-Newbie,Dyan,6/30/17,20:35,L,SovSm,feta,cinnamon,sound,sound,sound,1,3,4,3,5,8,2,3,5,2,3,5,5,4,8,NA,8,NA,4,5,6,11,17,0.470588235,0.235294118,0.294117647,0.294117647
A-C095,?,3/31/17,20:33,AJ,SovSm,epsilon,sasafrass,neither,NA,neither,0,6,6,0,1,1,0,4,4,0,6,6,6,4,NA,1,6,4,NA,1,0,11,11,0.090909091,0.545454545,0.363636364,0.545454545
Cracker_Jacks,Unknown,5/30/17,NA,T,SovSm,sasafrass,epsilon,sound,NA,sound,0,0,0,0,5,5,0,1,1,0,5,5,0,NA,1,5,0,NA,5,1,0,6,6,0.833333333,0,0.166666667,0.833333333
Bartameus,Unknown,7/29/17,19:34,L,SovSm,epsilon,sasafrass,"neither, nearest","neither, nearest",neither,1,1,2,0,8,8,5,2,7,5,2,7,8,NA,2,8,2,6,7,NA,6,11,17,0.470588235,0.117647059,0.411764706,0.411764706
Lireal,Unknown,7/29/17,20:57,L,SovSm,epsilon,sasafrass,"sound, nearest","sound, nearest","sound, nearest",0,5,5,4,14,18,0,5,5,4,14,18,5,5,NA,18,5,5,18,NA,4,24,28,0.642857143,0.178571429,0.178571429,0.642857143
H-C055,Vanessa,4/30/17,0:31,AJ,SovSm,feta,cinnamon,"sound, nearest","sound, nearest","sound, nearest",0,6,6,2,17,19,0,5,5,2,17,19,5,NA,19,6,19,5,6,NA,2,28,30,0.633333333,0.2,0.166666667,0.633333333
