Bat.ID,Scorer,Date,Time, Species,Test,Rewarded_sound,Rewarded_smell,first_hover,first_hover_nearest,first_land,first_land_nearest,first_visit,first_visit_nearest,lands_smell,hovers_smell,visits_smell,lands_sound,hovers_sound,visits_sound,lands_neither,hovers_neither,visits_neither,lands_nearest,hovers_nearest,visits_nearest,visits_alpha,visits_beta,visits_feta,visits_epsilon,visits_sassafras,visits_almond,visits_cinnamon,visits_anise,total_lands,total_hovers,total_visits,pct_visits_sound,pct_visits_smell,pct_visits_neither,pct_visits_nearest,notes
A-C095,DV,3/31/17,20:33,AJ,SovSm,epsilon,sassafras,neither,0,NA,NA,neither,0,0,6,6,0,1,1,0,4,4,0,6,6,6,4,NA,1,6,4,NA,1,0,11,11,0.090909091,0.545454545,0.363636364,0.545454545,PREVIOUSLY ENTERED (ROW 1)
A-Head,DV,7/1/17,20:22,L,SovSm,feta,cinnamon,neither,NA,smell,NA,smell,NA,6,4,10,2,0,2,2,3,5,NA,NA,NA,NA,10,2,5,NA,2,10,5,10,7,17,0.117647059,0.588235294,0.294117647,NA,
B-Butt,DV,7/3/17,20:33,L,SovSm,feta,cinnamon,neither,0,neither,0,neither,0,0,0,0,0,0,0,1,1,2,0,0,0,0,NA,0,2,0,NA,0,2,1,1,2,0,0,1,0,
B-C09E,AS,4/4/17,21:35,AJ,SovSm,epsilon,sassafras,smell,nearest,NA,NA,smell,nearest,0,2,2,0,3,3,0,0,0,0,3,3,2,0,NA,3,2,NA,3,0,0,5,5,0.6,0.4,0,0.6,"""Night 6"", 3,3/epsilon/cinnamon, 2,4/beta/anise, 3,1/alpha/sassafras"
Bartameus,UK,7/29/17,19:34,L,SovSm,epsilon,sassafras,neither,nearest,neither,1,neither,nearest,1,1,2,0,8,8,5,2,7,5,2,7,8,NA,2,8,2,6,7,NA,6,11,17,0.470588235,0.117647059,0.411764706,0.411764706,"3,3/alpha/cin, 2,1/feta/sas, 2,4/epsilon/almond"
Beethoven,DA,9/23/17,NA,L,SovSm,beta,almond,sound,0,sound,0,sound,0,3,0,3,2,4,6,0,0,0,3,0,3,0,6,3,NA,6,3,0,NA,5,4,9,0.666666667,0.333333333,0,0.333333333,"4,1/sassafras/beta, 4,3/cinammon/alpha, 2,4/almond/feta"
C-C09A,MD,4/5/17,22:13,AJ,SovSm,epsilon,sassafras,smell,NA,NA,NA,smell,NA,0,2,2,0,4,4,0,2,2,NA,NA,NA,2,2,NA,4,2,2,4,NA,0,8,8,0.5,0.25,0.25,NA,"3,3/epsilon/sassafras, 3,1/feta/anise, 2,4/beta/cinammon, ""night 5"""
C-Newbie,DV,6/30/17,20:35,L,SovSm,feta,cinnamon,sound,0,sound,0,sound,0,1,3,4,3,5,8,2,3,5,2,3,5,5,4,8,NA,8,NA,4,5,6,11,17,0.470588235,0.235294118,0.294117647,0.294117647,
Cracker_Jacks,UK,5/30/17,NA,T,SovSm,sassafras,epsilon,sound,nearest,NA,NA,sound,nearest,0,0,0,0,5,5,0,1,1,0,5,5,0,NA,1,5,0,NA,5,1,0,6,6,0.833333333,0,0.166666667,0.833333333,
D-C0B6,VP,4/3/17,23:55,AJ,SovSm,epsilon,sassafras,sound,NA,smell,NA,sound,NA,1,10,11,0,3,3,0,7,7,NA,NA,NA,NA,11,7,3,11,7,3,NA,1,20,21,0.142857143,0.523809524,0.333333333,NA,"3,1/beta/sassafras, 3,3/epsilon/cinammon, 2,4/feta/almond"
