Bat ID,Scorer,Date,Time, Species,Test,Rewarded_1,Rewarded_2,first_hover,first_land,first_visit
A-C095,unknown,3/30/17,23:56,AJ,LocVSmell,"4,2",sasafrass,location,NA,location
A-Head,Dylan,7/3/17,19:11,L,LocVSmell,"3,1",cinnamon,location,location,location
B-Butt,Dylan,6/30/17,19:30,L,LocVSmell,"3,1",cinnamon,location,location,location
B-C09E,unknown,4/6/17,19:36,AJ,LocVSmell,"4,2",sasafrass,NA,NA,NA
Bartameus,Vanessa,7/28/17,20:48,L,LocVSmell,"4,2",sasafrass,neither,location,neither
Beethoven,Vanessa,9/22/17,19:34,L,LocVSmell,"1,3",almond,location,location,location
C-C09A,unknown,4/1/17,NA,AJ,LocVSmell,"4,2",sasafrass,location,location,location
C-Newbie,Dylan,6/29/17,NA,L,LocVSmell,"3,1",cinnamon,location,location,location
D-C0B6,unknown,3/31/17,22:29,AJ,LocVSmell,"4,2",sasafrass,location,NA,location
E-C07C,Vanessa,4/3/17,22:31,AJ,LocVSmell,"4,2",sasafrass,location,smell,location
F-C0C0,unknown,4/6/17,21:02,AJ,LocVSmell,"4,2",sasafrass,NA,NA,NA
G-C09B,Vanessa,5/1/17,1:40,AJ,LocVSmell,"3,3",cinnamon,location,NA,location
H-C055,Vanessa,4/2/17,23:30,AJ,LocVSmell,"3,3",cinnamon,location,NA,location
Handel,Vanessa,10/16/17,19:35,L,LocVSmell,"3,1",anise,neither,location,location
I-C0BF,Vanessa,4/2/17,21:01,AJ,LocVSmell,"3,3",cinnamon,neither,NA,neither
J-C090,Amanda,5/1/17,22:59,AJ,LocVSmell,"3,3",cinnamon,NA,NA,NA
K-C091,Dineilys,5/1/17,22:59,AJ,LocVSmell,"3,3",cinnamon,neither,NA,neither
L-C07F,unknown,4/30/17,23:13,AJ,LocVSmell,"3,3",cinnamon,location,NA,location
Lireal,unknown,7/26/17,19:17,L,LocVSmell,"4,2",sasafrass,location,location,location
Mozart,Vanessa,9/21/17,20:45,L,LocVSmell,"1,3",almond,neither,neither,neither
Shostakovich,Dineilys,9/23/17,19:18,L,LocVSmell,"1,3",almond,location,location,location
Whitey,Vanessa,10/18/17,20:20,L,LocVSmell,"3,1",anise,location,location,location
A-C095,unknown,4/1/17,1,AJ,LocVSound,"4,2",epsilon,location,location,location
B-Butt,Dylan,7/1/17,21:37,L,LocVSound,"3,1",feta,location,location,location
B-C09E,Dylan,4/5/17,19:41,AJ,LocVSound,"4,2",epsilon,NA ,NA,NA
Bartameus,unknown,7/26/17,20:32,L,LocVSound,"4,2",epsilon,location,location,location
Beethoven,Vanessa,9/21/17,20:45,L,LocVSound,"1,3",beta,location,neither,neither
C-C09A,Dineilys,4/4/17,20:00,AJ,LocVSound,"4,2",epsilon,location,NA,location
C-Newbie,Dylan,7/1/17,19:12,L,LocVSound,"3,2",feta,location,location,location
Cracker_Jacks,May,5/28/17,NA,T,LocVSound,"4,2",sassafrass,location,location,location
D-C0B6,unknown,4/2/17,23:45,AJ,LocVSound,"4,2",epsilon,neither,location,neither
E-C07C,Vanessa,4/2/17,3:16,AJ,LocVSound,"4,2",epsilon,location,location,location
F-C0C0,Dineilys,4/4/17,1:42,AJ,LocVSound,"4,2",epsilon,location,neither,location
G-C09B,Vanessa,4/2/17,19:42,AJ,LocVSound,"3,3",feta,location,NA,location
H-C055,Vanessa,5/1/17,0:38,AJ,LocVSound,"3,3",feta,location,NA,location
Handel,Dineilys,10/17/17,20:38,L,LocVSound,"3,1",alpha,location,neither,neither
I-C0BF,Vanessa,4/20/17,1:55,AJ,LocVSound,"3,3",feta,location,NA,location
J-C090,Vanessa,5/2/17,22:15,AJ,LocVSound,"3,3",feta,neither,NA,neither
K-C091,May,4/30/17,21:47,AJ,LocVSound,"3,3",feta,location,NA,location
L-C07F,Dineilys,5/2/17,22:15,AJ,LocVSound,"3,3",feta,sound,location,sound
Lireal,unknown,7/27/17,20:58,L,LocVSound,"4,2",epsilon,location,location,location
Mozart,Dineilys,9/23/17,22:05,L,LocVSound,"1,3",beta,sound,NA,sound
Shostakovich,Vanessa,9/21/17,19:20,L,LocVSound,"1,3",beta,location,location,location
Whitey,Vanessa,10/17/17,20:59,L,LocVSound,"3,1",alpha,neither,location,neither
A-C095,?,3/31/17,20:33,AJ,SovSm,epsilon,sasafrass,neither,NA,neither
A-Head,Dylan,7/1/17,20:22,L,SovSm,feta,cinnamon,nearest,smell,smell
B-Butt,Dylan,7/3/17,20:33,L,SovSm,feta,cinnamon,neither,neither,neither
B-C09E,Amanda,4/4/17,21:35,AJ,SovSm,epsilon,sasafrass,smell,NA,smell
Bartameus,Unknown,7/29/17,19:34,L,SovSm,epsilon,sasafrass,neither,neither,neither
Beethoven,Dineilys,9/23/17,,L,SovSm,beta,almond,sound,sound,sound
C-C09A,May,4/5/17,22:13,AJ,SovSm,epsilon,sasafrass,smell,NA,smell
C-Newbie,Dyan,6/30/17,20:35,L,SovSm,feta,cinnamon,sound,sound,sound
Cracker_Jacks,Unknown,5/30/17,NA,T,SovSm,sasafrass,epsilon,sound,NA,sound
D-C0B6,Vanessa,4/3/17,23:55,AJ,SovSm,epsilon,sasafrass,sound,smell,sound
E-C07C,Unknown,4/1/17,20:52,AJ,SovSm,epsilon,sasafrass,smell,NA,smell
F-C0C0,Vanessa,4/5/17,21:02,AJ,SovSm,epsilon,sasafrass,neither,NA,neither
G-C09B,Amanda,4/3/17,NA,AJ,SovSm,feta,cinnamon,neither,NA,neither
H-C055,Vanessa,4/30/17,0:31,AJ,SovSm,feta,cinnamon,sound,sound,sound
Handel,Dineilys,10/18/17,19:05,L,SovSm,alpha,anise,NA,sound,sound
I-C0BF,Vanessa,5/1/17,2:59,AJ,SovSm,feta,cinnamon,neither,NA,neither
J-C090,Unknown,4/30/17,20:08,AJ,SovSm,feta,cinnamon,sound,sound,sound
K-C091,Amanda,5/2/17 or  4/2/2017,2:08,AJ,SovSm,feta,cinnamon,smell,sound,smell
L-C07F,Amanda,5/1/17,0:20,AJ,SovSm,feta,cinnamon,sound,smell,sound
Lireal,Unknown,7/29/17,20:57,L,SovSm,epsilon,sasafrass,sound,sound,sound
Mozart,Vanessa,6/22/17,22:25,L,SovSm,beta,almond,sound,neither,sound
Shostakovich,Vanessa,9/22/17,20:55,L,SovSm,beta,almond,neither,smell,neither
Whitey,Dineilys,10/16/17,20:59,L,SovSm,alpha,anise,smell,smell,smell
